2026/06/06 22:23:45 OpenPass API + CRM panel listening on :8080
2026/06/06 22:23:47 GET / 200 55.705ms
2026/06/06 22:24:04 GET / 200 0s
2026/06/06 22:24:19 GET / 200 0s
2026/06/06 22:24:19 GET /app.js 200 1.7484ms
2026/06/06 22:24:19 GET /styles.css 200 0s
2026/06/06 22:24:19 GET /api/admin/me 200 0s
2026/06/06 22:24:19 GET /api/admin/keys 200 507µs
2026/06/06 22:24:19 GET /api/admin/vaults 200 0s
2026/06/06 22:24:19 GET /api/admin/entries 200 0s
2026/06/06 22:24:19 GET /api/admin/audit-logs 200 857.8µs
2026/06/06 22:24:19 GET /api/admin/backups 200 1.0001ms
2026/06/06 22:25:55 GET / 200 0s
2026/06/06 22:26:12 GET / 200 0s
2026/06/06 22:26:12 GET /app.js 200 0s
2026/06/06 22:26:12 GET /styles.css 200 0s
2026/06/06 22:26:12 GET /api/admin/me 200 0s
2026/06/06 22:26:12 GET /api/admin/keys 200 508.2µs
2026/06/06 22:26:12 GET /api/admin/vaults 200 0s
2026/06/06 22:26:12 GET /api/admin/entries 200 0s
2026/06/06 22:26:12 GET /api/admin/audit-logs 200 0s
2026/06/06 22:26:12 GET /api/admin/backups 200 506.6µs
2026/06/06 22:34:11 GET / 200 0s
2026/06/06 22:34:11 GET /styles.css 200 0s
2026/06/06 22:34:11 GET /app.js 200 0s
2026/06/06 22:34:11 GET /api/admin/me 200 0s
2026/06/06 22:34:11 GET / 200 0s
2026/06/06 22:34:11 GET /api/admin/keys 200 0s
2026/06/06 22:34:11 GET /api/admin/entries 200 0s
2026/06/06 22:34:11 GET /api/admin/vaults 200 0s
2026/06/06 22:34:11 GET /api/admin/audit-logs 200 0s
2026/06/06 22:34:11 GET /api/admin/backups 200 791.2µs
2026/06/06 22:34:39 GET / 200 0s
2026/06/06 22:34:39 GET /app.js 200 1.0117ms
2026/06/06 22:34:39 GET /styles.css 200 999.3µs
2026/06/06 22:34:39 GET / 200 0s
2026/06/06 22:34:39 GET /api/admin/me 200 0s
2026/06/06 22:34:39 GET /api/admin/keys 200 0s
2026/06/06 22:34:39 GET /api/admin/backups 200 1.0144ms
2026/06/06 22:34:39 GET /api/admin/entries 200 513.4µs
2026/06/06 22:34:39 GET /api/admin/vaults 200 0s
2026/06/06 22:34:39 GET /api/admin/audit-logs 200 0s
2026/06/06 22:34:41 POST /api/admin/logout 200 5.5818ms
2026/06/06 22:34:45 POST /api/admin/login 200 4.9765ms
2026/06/06 22:34:45 GET /api/admin/backups 200 1.0012ms
2026/06/06 22:34:45 GET /api/admin/audit-logs 200 0s
2026/06/06 22:34:45 GET /api/admin/entries 200 0s
2026/06/06 22:34:45 GET /api/admin/vaults 200 0s
2026/06/06 22:34:45 GET /api/admin/keys 200 974.5µs
2026/06/06 22:35:00 DELETE /api/admin/vaults/3ccca09191203f0c801fdcfbe8927b21 204 4.4494ms
2026/06/06 22:35:00 GET /api/admin/keys 200 0s
2026/06/06 22:35:00 GET /api/admin/backups 200 0s
2026/06/06 22:35:00 GET /api/admin/vaults 200 0s
2026/06/06 22:35:00 GET /api/admin/entries 200 24.5008ms
2026/06/06 22:35:00 GET /api/admin/audit-logs 200 24.5008ms
2026/06/06 22:35:11 PUT /api/admin/vaults/66c611593edfa7ecb79a6f1ca560aee1 200 8.5184ms
2026/06/06 22:35:12 GET /api/admin/audit-logs 200 2.259ms
2026/06/06 22:35:12 GET /api/admin/entries 200 0s
2026/06/06 22:35:12 GET /api/admin/vaults 200 0s
2026/06/06 22:35:12 GET /api/admin/backups 200 2.259ms
2026/06/06 22:35:12 GET /api/admin/keys 200 22.9254ms
2026/06/06 22:35:29 GET /styles.css 200 0s
